15 19 24 29 44 46
 4 11 15 35 40 49
 2  4 18 20 25 40
 9 19 24 42 46 49
 5 10 13 30 38 49
 4 12 13 21 35 39
 6 18 30 34 46 48
22 26 29 30 42 43
10 25 29 30 35 44
11 12 15 16 17 30
12 18 25 31 32 43
 9 13 33 37 44 49
 3 18 23 26 33 43
 2 17 18 19 28 29
26 28 35 38 39 48
 8 12 31 33 40 47
 3 14 17 27 36 45
 1  2  5  7 19 29
 5  9 21 28 29 49
 3  8 19 21 31 38
 9 17 19 31 34 48
12 16 21 27 40 44
 6 11 20 22 40 46
 8 12 18 20 22 37
 9 10 14 15 31 45
 3 15 21 22 44 49
 7 14 19 21 33 44
12 15 23 24 31 44
 6 13 21 38 41 49
 6  9 12 13 20 47
 1 21 25 28 35 49
 5  9 14 25 32 45
 9 32 35 37 39 49
 6  7  8 15 43 49
14 18 26 43 44 49
 3 23 24 29 32 33
13 21 25 32 39 43
 4 18 34 35 38 47
10 12 16 24 25 29
 1 20 28 36 44 45
